1,0,24,B
3,0,58,B
5,0,18,B
7,0,7,B
17,0,14,B
25,0,17,B
35,0,87,B
37,0,52,B
39,0,95,B
40,0,96,B
51,0,12,B
53,0,77,B
56,0,37,B
57,0,7,B
58,0,24,B
59,0,62,B
65,0,49,B
66,0,72,B
68,0,38,B
69,0,18,B
71,0,3,B
74,0,85,B
77,0,98,B
78,0,63,B
82,0,38,B
84,0,29,B
85,0,7,B
86,0,78,B
87,0,11,B
89,0,43,B
91,0,0,B
93,0,5,B
94,0,52,B
95,0,94,B
98,0,85,B
1,1,29,B
2,1,77,B
5,1,44,B
6,1,86,B
12,1,47,B
21,1,84,B
26,1,85,B
28,1,94,B
29,1,56,B
33,1,29,B
35,1,89,B
39,1,45,B
41,1,76,B
45,1,58,B
46,1,84,B
53,1,82,B
57,1,69,B
58,1,32,B
66,1,29,B
70,1,81,B
71,1,69,B
73,1,10,B
74,1,73,B
76,1,23,B
78,1,31,B
80,1,43,B
81,1,44,B
84,1,17,B
92,1,76,B
4,2,22,B
6,2,47,B
12,2,94,B
13,2,13,B
14,2,49,B
18,2,72,B
22,2,64,B
26,2,11,B
28,2,40,B
33,2,42,B
35,2,25,B
37,2,81,B
38,2,5,B
39,2,38,B
46,2,23,B
61,2,60,B
66,2,69,B
67,2,24,B
69,2,32,B
78,2,97,B
84,2,24,B
93,2,43,B
94,2,74,B
95,2,5,B
96,2,80,B
97,2,5,B
5,3,95,B
9,3,49,B
10,3,51,B
11,3,12,B
14,3,63,B
16,3,47,B
17,3,84,B
18,3,74,B
21,3,18,B
22,3,65,B
24,3,88,B
25,3,0,B
27,3,37,B
34,3,53,B
36,3,49,B
37,3,15,B
42,3,52,B
49,3,21,B
58,3,35,B
62,3,31,B
65,3,88,B
66,3,53,B
67,3,68,B
70,3,97,B
74,3,50,B
77,3,91,B
78,3,6,B
83,3,29,B
85,3,90,B
87,3,35,B
94,3,1,B
96,3,54,B
0,4,39,B
4,4,83,B
8,4,92,B
13,4,13,B
18,4,90,B
36,4,8,B
39,4,94,B
41,4,71,B
52,4,91,B
59,4,57,B
63,4,74,B
71,4,66,B
73,4,97,B
79,4,94,B
84,4,16,B
87,4,26,B
95,4,81,B
96,4,90,B
0,5,16,B
3,5,5,B
4,5,60,B
6,5,33,B
15,5,20,B
17,5,62,B
19,5,17,B
26,5,52,B
27,5,51,B
28,5,98,B
35,5,74,B
46,5,26,B
51,5,77,B
54,5,26,B
57,5,92,B
62,5,85,B
67,5,10,B
68,5,18,B
71,5,26,B
72,5,35,B
76,5,22,B
78,5,9,B
80,5,73,B
81,5,82,B
82,5,27,B
85,5,29,B
89,5,35,B
2,6,47,B
11,6,70,B
12,6,46,B
14,6,99,B
15,6,14,B
17,6,49,B
18,6,81,B
27,6,38,B
32,6,46,B
33,6,10,B
38,6,2,B
39,6,87,B
41,6,47,B
52,6,32,B
56,6,67,B
60,6,84,B
62,6,25,B
71,6,92,B
